measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,03,bulleted-list,0.025510,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,04,numbered-list,0.022436,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,05,table,0.030675,,table:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,06,formula,0.059524,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,07,mixed-language,0.019093,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,08,diagram,0.187500,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,10,dense,0.009512,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,11,numbers,0.046377,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,12,special-chars,0.016807,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,13,corrections,0.115044,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/google/gemini-2.5-flash,14,margin-note,0.194872,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,01,clean-prose,0.012000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,02,rushed-prose,0.026000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,03,bulleted-list,0.005102,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,04,numbered-list,0.012821,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,05,table,0.030675,,table:ok,pass,635b0b92a4432be2,31,,,,,,
